player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Sven Bender,de GER,DF,Leverkusen,1989,5.3,7,6,3,2,2,3,4,75,1,42,20,47.6,20,19,3,11,2,0,9,2,9,23,0,2020,German
Ramy Bensebaini,dz ALG,DF,M'Gladbach,1995,4.2,4,3,1,1,2,0,2,0,2,38,14,36.8,15,14,9,14,2,0,12,4,8,35,0,2020,German
Nabil Bentaleb,dz ALG,MF,Schalke 04,1994,4.8,12,6,7,5,0,2,12,16.7,10,94,20,21.3,46,39,9,7,2,0,5,3,15,4,0,2020,German
Bartosz Bialek,pl POL,FW,Wolfsburg,2001,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Ermin Bičakčić,ba BIH,DF,Hoffenheim,1990,1.4,1,0,0,1,0,1,2,50,1,19,5,26.3,12,4,3,3,1,0,2,1,2,9,0,2020,German
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,1993,5.6,14,5,2,6,6,2,10,20,8,161,33,20.5,23,80,58,11,0,0,11,5,19,1,0,2020,German
Jérôme Boateng,de GER,DF,Bayern Munich,1988,4.8,6,5,2,4,0,3,7,42.9,4,37,16,43.2,17,18,2,10,5,0,5,1,7,15,0,2020,German
Jean-Paul Boëtius,nl NED,MF,Mainz 05,1994,5.2,13,8,2,8,3,3,12,25,9,129,44,34.1,18,75,36,11,0,0,11,5,18,1,1,2020,German
Sebastiaan Bornauw,be BEL,DF,Köln,1999,7,15,11,12,3,0,5,7,71.4,2,70,30,42.9,50,20,0,16,7,1,9,3,18,31,0,2020,German
Nassim Boujellab,ma MAR,MF,Schalke 04,1999,1,5,4,3,2,0,0,2,0,2,26,11,42.3,5,14,7,1,0,0,1,2,7,0,0,2020,German
Dedryck Boyata,be BEL,DF,Hertha BSC,1990,6,2,0,1,1,0,0,2,0,2,24,7,29.2,17,7,0,15,9,0,6,3,5,36,2,2020,German
Can Bozdogan,de GER,MF,Schalke 04,2001,2.7,8,4,3,4,1,2,5,40,3,86,24,27.9,31,41,14,5,0,0,5,2,10,2,0,2020,German
Julian Brandt,de GER,"MF,FW",Dortmund,1996,3.3,2,1,2,0,0,0,2,0,2,44,15,34.1,9,15,20,3,0,0,3,2,4,1,0,2020,German
Josip Brekalo,hr CRO,FW,Wolfsburg,1998,4.7,6,6,4,2,0,1,3,33.3,2,64,28,43.8,12,27,25,5,0,0,5,1,7,1,0,2020,German
Joshua Brenet,nl NED,DF,Hoffenheim,1994,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
John Brooks,us USA,DF,Wolfsburg,1993,6,11,8,7,4,0,4,14,28.6,10,54,25,46.3,34,20,0,14,6,0,8,5,16,43,0,2020,German
Daniel Brosinski,de GER,DF,Mainz 05,1988,5.9,6,1,3,3,0,4,15,26.7,11,58,17,29.3,16,29,13,12,1,0,11,1,7,16,0,2020,German
Cédric Brunner,ch SUI,DF,Arminia,1994,3.6,3,3,1,2,0,2,3,66.7,1,36,7,19.4,17,14,5,14,0,0,14,0,3,9,0,2020,German
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,1998,1,0,0,0,0,0,0,1,0,1,27,4,14.8,4,9,14,0,0,0,0,0,0,0,0,2020,German
Marius Bülter,de GER,"FW,MF",Union Berlin,1993,3.5,7,5,3,1,3,2,3,66.7,1,41,21,51.2,13,15,13,8,0,0,8,0,7,3,0,2020,German
Jonathan Burkardt,de GER,FW,Mainz 05,2000,2.2,3,0,2,1,0,1,4,25,3,38,11,28.9,8,19,11,7,2,0,5,0,3,3,0,2020,German
Roman Bürki,ch SUI,GK,Dortmund,1990,4,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,German
Daniel Caligiuri,it ITA,"MF,FW",Augsburg,1988,5.9,18,11,8,9,1,7,27,25.9,20,159,44,27.7,69,76,14,19,3,0,16,3,21,7,0,2020,German
