player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Douglas Costa,br BRA,FW,Bayern Munich,1990,1.3,0,0,0,0,0,0,1,0,1,23,4,17.4,1,8,14,3,1,0,2,0,0,0,0,2020,German
Tanguy Coulibaly,fr FRA,DF,Stuttgart,2001,2.7,12,5,4,3,5,5,10,50,5,61,17,27.9,15,15,31,3,0,0,3,0,12,4,0,2020,German
Mickaël Cuisance,fr FRA,FW,Bayern Munich,1999,0.2,0,0,0,0,0,0,0,,0,4,1,25,0,1,3,1,0,0,1,0,0,0,0,2020,German
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,1999,6,11,9,3,5,3,4,14,28.6,10,106,28,26.4,31,47,28,12,0,0,12,6,17,0,0,2020,German
Rafael Czichos,de GER,DF,Köln,1990,6.5,9,6,6,2,1,2,5,40,3,60,23,38.3,35,23,2,12,2,0,10,7,16,37,0,2020,German
Moanes Dabour,il ISR,FW,Hoffenheim,1992,4.4,4,2,1,2,1,2,4,50,2,74,24,32.4,5,35,34,5,0,0,5,0,4,1,0,2020,German
Mahmoud Dahoud,de GER,MF,Dortmund,1996,1.7,4,2,1,2,1,0,3,0,3,26,8,30.8,6,16,4,3,1,0,2,2,6,1,0,2020,German
Vladimír Darida,cz CZE,MF,Hertha BSC,1990,5.3,11,6,5,4,2,2,11,18.2,9,99,33,33.3,32,48,19,8,1,0,7,3,14,9,0,2020,German
Alphonso Davies,ca CAN,"DF,FW",Bayern Munich,2000,2,3,3,0,1,2,2,3,66.7,1,25,9,36,9,8,8,6,1,0,5,1,4,4,0,2020,German
Thomas Delaney,dk DEN,"MF,DF",Dortmund,1991,3.2,9,8,3,4,2,1,5,20,4,52,18,34.6,13,33,6,8,1,0,7,4,13,12,1,2020,German
Kerem Demirbay,de GER,MF,Leverkusen,1993,3.4,12,8,6,6,0,4,13,30.8,9,68,20,29.4,20,37,11,5,1,0,4,3,15,1,0,2020,German
Ermedin Demirović,ba BIH,FW,Freiburg,1998,0.2,0,0,0,0,0,0,1,0,1,14,4,28.6,1,6,7,3,1,0,2,0,0,0,0,2020,German
Mike van der Hoorn,nl NED,DF,Arminia,1992,5.9,5,4,2,3,0,1,3,33.3,2,22,7,31.8,16,6,0,14,4,0,10,0,5,40,0,2020,German
Moussa Diaby,fr FRA,"MF,FW",Leverkusen,1999,5.9,2,2,0,1,1,0,4,0,4,60,20,33.3,4,27,29,2,0,0,2,1,3,1,0,2020,German
Daniel Didavi,de GER,"FW,MF",Stuttgart,1990,4.3,4,1,1,1,2,1,6,16.7,5,79,26,32.9,9,26,44,3,0,0,3,0,4,3,0,2020,German
Javairô Dilrosun,nl NED,"FW,DF",Hertha BSC,1998,0.5,3,2,1,0,2,1,1,100,0,9,3,33.3,5,2,2,2,0,0,2,2,5,1,0,2020,German
Ritsu Doan,jp JPN,"MF,FW",Arminia,1998,5.3,12,7,4,5,3,5,9,55.6,4,100,39,39,32,49,19,8,0,0,8,3,15,1,0,2020,German
Ji Dong-won,kr KOR,FW,Mainz 05,1991,0.4,2,0,1,0,1,1,1,100,0,9,3,33.3,3,3,3,0,0,0,0,0,2,0,0,2020,German
Bas Dost,nl NED,FW,Eint Frankfurt,1989,5.6,4,4,2,2,0,1,4,25,3,53,20,37.7,3,27,23,3,0,0,3,0,4,5,0,2020,German
Aleksandar Dragović,at AUT,DF,Leverkusen,1991,0.6,0,0,0,0,0,0,0,,0,14,2,14.3,3,8,3,0,0,0,0,0,0,1,0,2020,German
Dominick Drexler,de GER,"FW,MF",Köln,1990,2.7,7,6,4,2,1,0,6,0,6,59,24,40.7,20,17,22,5,2,0,3,0,7,1,0,2020,German
Ondrej Duda,sk SVK,MF,Köln,1994,6.3,11,8,3,7,1,2,8,25,6,144,40,27.8,24,85,35,11,1,0,10,2,13,6,0,2020,German
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,1998,0.4,0,0,0,0,0,0,1,0,1,15,5,33.3,3,5,7,0,0,0,0,0,0,2,0,2020,German
Maximilian Eggestein,de GER,MF,Werder Bremen,1996,7,12,9,4,7,1,1,9,11.1,8,111,39,35.1,36,56,19,10,0,0,10,6,18,14,0,2020,German
Lilian Egloff,de GER,MF,Stuttgart,2002,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Kingsley Ehizibue,nl NED,DF,Köln,1995,3.3,13,6,6,6,1,4,7,57.1,3,60,21,35,17,34,9,9,2,0,7,1,14,9,0,2020,German
Nico Elvedi,ch SUI,DF,M'Gladbach,1996,5.5,11,8,9,2,0,4,6,66.7,2,43,13,30.2,25,18,0,7,4,0,3,4,15,26,0,2020,German
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,1997,2.4,3,3,0,3,0,0,0,,0,54,12,22.2,2,29,23,2,0,0,2,1,4,1,0,2020,German
Keita Endo,jp JPN,"FW,MF",Union Berlin,1997,0.3,0,0,0,0,0,0,2,0,2,10,3,30,4,4,2,2,0,0,2,0,0,0,0,2020,German
Wataru Endo,jp JPN,MF,Stuttgart,1993,6,25,20,7,15,3,9,17,52.9,8,127,46,36.2,43,71,13,9,4,0,5,2,27,15,1,2020,German
Ralf Fährmann,de GER,GK,Schalke 04,1988,2.5,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2020,German
Ohis Felix Uduokhai,de GER,DF,Augsburg,1997,6,9,5,8,1,0,4,9,44.4,5,42,17,40.5,26,12,4,3,2,0,1,4,13,52,0,2020,German
Edimilson Fernandes,ch SUI,"MF,FW",Mainz 05,1996,0.7,1,0,0,1,0,0,1,0,1,12,6,50,5,7,0,1,0,0,1,1,2,2,0,2020,German
Alfreð Finnbogason,is ISL,FW,Augsburg,1989,1,1,1,0,1,0,0,1,0,1,19,7,36.8,6,7,6,3,1,0,2,1,2,2,0,2020,German
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,1991,4.1,2,0,1,0,1,1,3,33.3,2,55,20,36.4,8,15,32,4,1,0,3,1,3,0,0,2020,German
Philipp Förster,de GER,MF,Stuttgart,1995,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Raphael Framberger,de GER,DF,Augsburg,1995,5.5,11,4,6,3,2,2,7,28.6,5,61,17,27.9,38,13,10,25,4,0,21,9,20,26,1,2020,German
Marco Friedl,at AUT,DF,Werder Bremen,1998,7,11,7,7,3,1,7,11,63.6,4,76,18,23.7,46,26,4,16,6,0,10,4,15,28,0,2020,German
Marvin Friedrich,de GER,DF,Union Berlin,1995,6,11,6,5,6,0,3,5,60,2,58,27,46.6,27,28,3,10,5,0,5,6,17,21,0,2020,German
Niclas Füllkrug,de GER,FW,Werder Bremen,1993,3.1,2,2,0,2,0,1,10,10,9,60,13,21.7,4,26,30,7,2,0,5,1,3,4,0,2020,German
Silas Fundu Wamangituka,cd COD,DF,Stuttgart,,4.3,10,4,5,4,1,7,15,46.7,8,78,25,32.1,23,34,21,8,0,0,8,1,11,3,0,2020,German
Mijat Gaćinović,rs SRB,"MF,FW",Hoffenheim,1995,1.7,1,1,0,1,0,0,1,0,1,37,13,35.1,15,14,8,2,0,0,2,2,3,3,0,2020,German
Christian Gebauer,at AUT,"FW,MF",Arminia,1993,1,1,1,1,0,0,0,1,0,1,13,5,38.5,6,5,2,1,0,0,1,1,2,2,0,2020,German
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,1986,7,11,7,10,0,1,5,19,26.3,14,113,32,28.3,63,38,12,13,4,0,9,4,15,29,0,2020,German
Dennis Geiger,de GER,MF,Hoffenheim,1998,4.9,8,5,3,3,2,4,8,50,4,94,26,27.7,16,56,22,4,0,0,4,2,10,1,0,2020,German
Christian Gentner,de GER,MF,Union Berlin,1985,2.1,8,6,6,1,1,3,6,50,3,24,11,45.8,11,10,3,2,1,0,1,1,9,5,0,2020,German
Yannick Gerhardt,de GER,MF,Wolfsburg,1994,3,9,6,3,2,4,3,5,60,2,74,23,31.1,19,41,14,4,2,0,2,1,10,11,0,2020,German
Hamadi Al Ghaddioui,ma MAR,"MF,FW",Stuttgart,1990,0.2,0,0,0,0,0,0,1,0,1,4,1,25,1,1,2,0,0,0,0,0,0,0,0,2020,German
Niko Gießelmann,de GER,DF,Union Berlin,1991,0.1,3,1,3,0,0,3,3,100,0,5,1,20,2,1,2,0,0,0,0,0,3,0,1,2020,German
Rafał Gikiewicz,pl POL,GK,Augsburg,1987,6,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,German
Daniel Ginczek,de GER,FW,Wolfsburg,1991,1.1,1,0,0,1,0,0,2,0,2,26,7,26.9,1,15,10,1,0,0,1,0,1,1,0,2020,German
Matthias Ginter,de GER,DF,M'Gladbach,1994,6,6,4,3,3,0,3,6,50,3,33,12,36.4,18,14,1,14,8,0,6,3,9,32,0,2020,German
Serge Gnabry,de GER,FW,Bayern Munich,1995,4.5,10,4,0,6,4,4,9,44.4,5,73,19,26,10,28,35,5,0,0,5,4,14,0,0,2020,German
Nicolás González,ar ARG,"DF,FW",Stuttgart,1998,1.2,0,0,0,0,0,0,2,0,2,12,1,8.3,2,4,6,3,1,0,2,0,0,2,0,2020,German
Leon Goretzka,de GER,MF,Bayern Munich,1995,3.6,13,7,5,7,1,7,13,53.8,6,54,21,38.9,9,30,15,7,0,0,7,5,18,1,0,2020,German
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,1991,6,6,2,5,0,1,2,7,28.6,5,34,12,35.3,22,9,3,9,4,0,5,4,10,51,0,2020,German
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,1994,4.5,9,5,0,9,0,0,4,0,4,80,20,25,12,56,12,2,0,0,2,0,9,7,0,2020,German
Sebastian Griesbeck,de GER,MF,Union Berlin,1990,2,3,2,2,1,0,0,3,0,3,42,12,28.6,14,23,5,3,1,0,2,1,4,1,0,2020,German
Vincenzo Grifo,it ITA,MF,Freiburg,1993,4.7,8,2,2,4,2,4,13,30.8,9,65,16,24.6,15,28,22,8,0,0,8,1,9,3,0,2020,German
Florian Grillitsch,at AUT,MF,Hoffenheim,1995,2.1,5,3,4,1,0,1,5,20,4,51,14,27.5,19,24,8,8,0,0,8,0,5,4,0,2020,German
Christian Groß,de GER,MF,Werder Bremen,1989,3,5,4,2,3,0,2,8,25,6,60,18,30,26,28,6,3,1,0,2,2,7,4,0,2020,German
Carlos Gruezo,ec ECU,MF,Augsburg,1995,5.3,15,11,7,7,1,5,13,38.5,8,88,28,31.8,43,42,3,11,0,0,11,2,17,5,0,2020,German
Mattéo Guendouzi,fr FRA,MF,Hertha BSC,1999,0.4,0,0,0,0,0,0,0,,0,5,3,60,4,0,1,3,0,0,3,1,1,0,0,2020,German
Raphaël Guerreiro,pt POR,DF,Dortmund,1993,2.9,5,2,1,3,1,3,4,75,1,21,6,28.6,5,9,7,6,0,0,6,0,5,1,0,2020,German
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,1990,3.3,6,4,4,2,0,3,6,50,3,38,13,34.2,18,18,2,6,4,0,2,9,15,23,0,2020,German
Péter Gulácsi,hu HUN,GK,RB Leipzig,1990,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Manuel Gulde,de GER,DF,Freiburg,1991,0.6,3,1,1,1,1,0,2,0,2,10,3,30,2,8,0,1,0,0,1,0,3,2,0,2020,German
Robert Gumny,pl POL,DF,Augsburg,1998,0.5,0,0,0,0,0,0,0,,0,6,2,33.3,2,3,1,2,0,0,2,1,1,0,0,2020,German
Christian Günter,de GER,DF,Freiburg,1993,6,10,9,7,1,2,4,13,30.8,9,84,25,29.8,32,30,22,13,4,0,9,5,15,10,0,2020,German
Alexander Hack,de GER,DF,Mainz 05,1993,1.1,4,2,2,1,1,3,3,100,0,8,3,37.5,5,2,1,0,0,0,0,0,4,4,0,2020,German
André Hahn,de GER,"MF,FW",Augsburg,1990,3.9,10,7,3,5,2,4,12,33.3,8,90,23,25.6,31,40,19,7,1,0,6,2,12,5,0,2020,German
Amadou Haidara,ml MLI,"MF,DF",RB Leipzig,1998,3.3,11,8,2,8,1,4,10,40,6,50,20,40,7,36,7,5,0,0,5,4,15,3,0,2020,German
Erling Håland,no NOR,FW,Dortmund,2000,4.3,1,1,0,1,0,1,3,33.3,2,43,12,27.9,0,17,26,4,2,0,2,0,1,1,0,2020,German
Marcel Halstenberg,de GER,DF,RB Leipzig,1991,3,5,2,4,1,0,3,7,42.9,4,25,11,44,7,15,3,3,1,0,2,1,6,7,0,2020,German
Amine Harit,ma MAR,MF,Schalke 04,1997,3.2,3,3,0,2,1,0,6,0,6,56,18,32.1,23,26,7,4,0,0,4,1,4,2,0,2020,German
Marcel Hartel,de GER,MF,Arminia,1996,6,9,5,5,2,2,3,11,27.3,8,90,23,25.6,28,40,22,14,3,0,11,2,11,3,0,2020,German
Makoto Hasebe,jp JPN,DF,Eint Frankfurt,1984,6,12,9,10,1,1,7,13,53.8,6,61,30,49.2,39,17,5,9,5,0,4,3,15,22,1,2020,German
Thorgan Hazard,be BEL,"FW,DF",Dortmund,1993,1.3,1,1,1,0,0,1,4,25,3,21,7,33.3,5,8,8,1,0,0,1,1,2,0,0,2020,German
Jonas Hector,de GER,MF,Köln,1990,1.5,4,1,0,3,1,1,5,20,4,20,4,20,7,10,3,3,1,0,2,0,4,3,2,2020,German
Hwang Hee-chan,kr KOR,"FW,MF",RB Leipzig,1996,1.2,1,0,1,0,0,1,1,100,0,25,11,44,5,10,10,2,0,0,2,1,2,1,0,2020,German
Dominique Heintz,de GER,DF,Freiburg,1993,6,9,6,7,2,0,3,8,37.5,5,68,30,44.1,38,29,1,9,6,1,3,5,14,26,0,2020,German
Benjamin Henrichs,de GER,"MF,DF",RB Leipzig,1997,3.4,12,7,6,4,2,1,2,50,1,46,15,32.6,16,22,8,10,1,0,9,4,16,6,0,2020,German
Lucas Hernández,fr FRA,DF,Bayern Munich,1996,3.7,10,5,3,5,2,5,10,50,5,39,13,33.3,6,18,15,13,2,0,11,0,10,2,0,2020,German
Patrick Herrmann,de GER,FW,M'Gladbach,1991,2.7,3,2,3,0,0,0,2,0,2,36,9,25,8,9,19,3,0,0,3,1,4,3,0,2020,German
Martin Hinteregger,at AUT,DF,Eint Frankfurt,1992,6,18,11,16,2,0,8,28,28.6,20,90,34,37.8,50,32,8,9,4,0,5,4,22,23,0,2020,German
Marwin Hitz,ch SUI,GK,Dortmund,1987,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Nicolas Höfler,de GER,MF,Freiburg,1990,6,16,8,6,7,3,6,11,54.5,5,124,33,26.6,43,63,18,10,0,0,10,5,21,5,1,2020,German
Jonas Hofmann,de GER,"FW,MF",M'Gladbach,1992,5.3,12,9,4,7,1,5,14,35.7,9,120,30,25,21,68,31,16,2,0,14,5,17,9,0,2020,German
Marco Höger,de GER,DF,Köln,1989,0.6,3,3,0,3,0,1,3,33.3,2,15,6,40,8,7,0,1,0,0,1,1,4,2,0,2020,German
Lucas Höler,de GER,"FW,MF",Freiburg,1994,5.5,11,6,6,3,2,3,10,30,7,134,33,24.6,26,59,49,6,1,0,5,6,17,6,1,2020,German
Jannes Horn,de GER,DF,Köln,1997,5.7,9,2,9,0,0,6,13,46.2,7,67,15,22.4,45,17,5,11,1,0,10,3,12,20,0,2020,German
