player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Michael Hector,jm JAM,DF,Fulham,1992,2.6,0,1,0,0,0.38,0,0,,10,0,0,0,2020,English
Ahmed Hegazi,eg EGY,DF,West Brom,1991,1,0,0,0,,0,0,,,,0,0,0,2020,English
Jordan Henderson,eng ENG,MF,Liverpool,1990,4.2,0,6,1,16.7,1.42,0.24,0,0,17.2,0,0,0,2020,English
Jeff Hendrick,ie IRL,MF,Newcastle Utd,1992,7.4,1,7,1,14.3,0.94,0.13,0.14,1,20.3,0,0,0,2020,English
Pablo Hernández,es ESP,MF,Leeds United,1985,1.7,0,5,0,0,2.9,0,0,,14.8,0,0,0,2020,English
Son Heung-min,kr KOR,FW,Tottenham,1992,6.1,8,15,10,66.7,2.46,1.64,0.53,0.8,14.1,0,0,0,2020,English
Ki-Jana Hoever,nl NED,DF,Wolves,2002,0.3,0,0,0,,0,0,,,,0,0,0,2020,English
Rob Holding,eng ENG,DF,Arsenal,1995,4,0,0,0,,0,0,,,,0,0,0,2020,English
Conor Hourihane,ie IRL,MF,Aston Villa,1991,1.5,1,3,1,33.3,1.99,0.66,0.33,1,20.2,0,0,0,2020,English
Callum Hudson-Odoi,eng ENG,FW,Chelsea,2000,1.7,1,4,1,25,2.31,0.58,0.25,1,18.5,0,0,0,2020,English
Pierre Højbjerg,dk DEN,MF,Tottenham,1995,7,0,2,0,0,0.29,0,0,,30.5,0,0,0,2020,English
Odion Ighalo,ng NGA,FW,Manchester Utd,1989,0.1,0,0,0,,0,0,,,,0,0,0,2020,English
Kelechi Iheanacho,ng NGA,FW,Leicester City,1996,1.1,0,2,1,50,1.75,0.87,0,0,16.3,0,0,0,2020,English
Danny Ings,eng ENG,FW,Southampton,1992,6.9,5,14,8,57.1,2.02,1.15,0.29,0.5,14.9,0,1,1,2020,English
Branislav Ivanović,rs SRB,DF,West Brom,1984,3,0,3,1,33.3,1,0.33,0,0,6.4,0,0,0,2020,English
Alex Iwobi,ng NGA,"FW,MF",Everton,1996,1.8,0,1,0,0,0.55,0,0,,16.6,0,0,0,2020,English
Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,1993,0.4,0,2,0,0,4.86,0,0,,18.5,0,0,0,2020,English
